kod;nazwa;typ;poziom;lata;wymagane;punktowane;trudnosc;bezposrednie;posrednie;odsetek;gdzie;co_sie_robi;czego_nie_daje;droga_bez_studiow
zarzadzanie;Zarządzanie;uniwersytecki;lic_mgr;5;;matematyka jezyki wos;srednia;project_manager kierownik_zespolu konsultant;product_manager spec_marketingu handlowiec account_manager wlasciciel_uslugowej franczyzobiorca;35;wszedzie;Podstawy ekonomii, finansów, marketingu i prawa gospodarczego. Dużo teorii organizacji, mało praktyki.;Konkretnego zawodu. Otwiera wiele drzwi, żadnych na oścież. Bez praktyk i własnych projektów dyplom sam w sobie nie wystarcza.;0
ekonomia;Ekonomia;uniwersytecki;lic_mgr;5;matematyka;jezyki wos;srednia;analityk_finansowy analityk_rynku;kontroler_finansowy ksiegowy analityk_biznesowy konsultant;40;wszedzie;Mikro i makroekonomia, statystyka, ekonometria. Dużo matematyki, więcej niż spodziewa się większość kandydatów.;Umiejętności praktycznych. Excel i modelowanie finansowe trzeba opanować samodzielnie.;0
finanse_rach;Finanse i rachunkowość;uniwersytecki;lic_mgr;5;matematyka;jezyki wos;srednia;ksiegowy analityk_finansowy kontroler_finansowy doradca_podatkowy;glowny_ksiegowy spec_plac doradca_bank;60;wszedzie;Rachunkowość, podatki, finanse przedsiębiorstw, sprawozdawczość. Bardzo konkretny kierunek.;Uprawnień. Do głównego księgowego i doradcy podatkowego prowadzą osobne certyfikaty i egzaminy.;0
marketing_kier;Marketing;uniwersytecki;lic_mgr;5;;jezyki polski wos;niska;spec_marketingu brand_manager;copywriter social_media pr analityk_rynku seo;45;wszedzie;Zachowania konsumenta, badania rynku, komunikacja, podstawy zarządzania.;Umiejętności technicznych. Reklama płatna, analityka i narzędzia to nauka własna albo kursy.;0
logistyka;Logistyka;uniwersytecki;lic_mgr;5;;matematyka jezyki geografia;niska;spec_logistyki kierownik_magazynu spedytor dyspozytor;technolog_produkcji;55;wszedzie;Łańcuchy dostaw, transport, magazynowanie, planowanie produkcji.;Znajomości języka na poziomie negocjacji, która w spedycji decyduje o zarobkach.;0
zarz_zasob;Zarządzanie zasobami ludzkimi;uniwersytecki;lic_mgr;5;;polski wos jezyki;niska;spec_hr rekruter;trener_biznesu doradca_zawodowy coach;40;duze_miasta;Prawo pracy, psychologia organizacji, rekrutacja, systemy wynagrodzeń.;Doświadczenia, które w HR liczy się bardziej niż dyplom.;0
miedzynarodowe;Stosunki międzynarodowe;uniwersytecki;lic_mgr;5;;jezyki historia wos;srednia;;business_dev dziennikarz koordynator_ngo fundraiser handlowiec;20;duze_miasta;Prawo międzynarodowe, ekonomia globalna, języki, historia dyplomacji.;Konkretnego zawodu. Mniej niż co piąty absolwent pracuje w obszarze związanym z kierunkiem.;0
administracja_kier;Administracja;uniwersytecki;lic_mgr;5;;polski wos historia;niska;urzednik spec_admin;spec_zgodnosci prawnik_wewnetrzny office_manager;45;wszedzie;Prawo administracyjne, postępowanie administracyjne, finanse publiczne.;Przewagi w sektorze prywatnym. Kierunek jest silnie nastawiony na administrację publiczną.;0
informatyka;Informatyka;techniczny;inz_mgr;5;matematyka;fizyka informatyka;wysoka;programista devops inzynier_danych cyberbezpieczenstwo administrator;data_scientist analityk_danych tester zalozyciel_tech spec_wdrozen;75;wszedzie;Algorytmy, struktury danych, matematyka dyskretna, systemy operacyjne, sieci. Dużo teorii przed praktyką.;Umiejętności komercyjnych od ręki. Pierwszą pracę zdobywa się portfolio, nie dyplomem.;1
informatyka_ekon;Informatyka i ekonometria;uniwersytecki;lic_mgr;5;matematyka;informatyka;srednia;analityk_danych spec_bi;data_scientist analityk_finansowy analityk_biznesowy;55;duze_miasta;Statystyka, ekonometria, programowanie w R i Pythonie, modelowanie.;;0
