kod;nazwa;sklad;pytanie;roznica;uwaga
marketing_tresc;Marketing i tworzenie treści;spec_marketingu copywriter;Chcesz odpowiadać za to, czy kampania zadziała, czy za to, jak brzmi tekst?;Marketer prowadzi całość i jest rozliczany z wyniku sprzedażowego. Copywriter odpowiada za słowo i pracuje zwykle na własny rachunek, dla wielu klientów.;Oba segmenty masowe są mocno zagrożone. Marketer powinien celować w analitykę, copywriter w branżowość.
sprzedaz_terenowa;Sprzedaż w terenie;handlowiec agent_nieruchomosci;Wolisz stała pensję z prowizja, czy dochód wyłącznie prowizyjny przy znacznie wyższym suficie?;Przedstawiciel ma podstawę i samochod od pracodawcy. Agent nieruchomości zarabia wyłącznie od transakcji, a od pozyskania oferty do wypłaty mija 2 do 6 miesięcy.;Agent wymaga zabezpieczenia finansowego na 6 do 12 miesięcy. To warunek praktyczny, nie preferencja.
ksiegowosc;Księgowość i rozliczenia;ksiegowy glowny_ksiegowy spec_plac;Chcesz odpowiadać za rozliczenia firmy, za całość ksiąg z podpisem własnym nazwiskiem, czy za wynagrodzenia konkretnych ludzi?;Księgowy prowadzi. Główny księgowy podpisuje sprawozdanie i odpowiada osobiście, także karnie. Specjalista płac liczy pensję, gdzie każdy błąd dotyczy czyichś pieniędzy i wychodzi tego samego dnia.;Do głównego księgowego nie ma szybkiej drogi. Wymaga 6 do 10 lat i certyfikatów.
analiza_fin;Analiza i kontrola finansowa;analityk_finansowy kontroler_finansowy;Wolisz patrzeć w przód i oceniać, czy to się opłaci, czy pilnować na bieżąco, czy firma trzyma budżet?;Analityk pracuje z modelami i prognozami, więcej samotnie. Kontroler pracuje z ludźmi, którzy wydają pieniądze, i musi im mówić, ze nie ma na coś środków.;Kontroler jest z definicji w opozycji do działów operacyjnych. To codzienne, nie okazjonalne.
admin_biuro;Administracja i obsługa;office_manager obsluga_klienta;Wolisz ogarniać wszystko, co dzieje się w firmie, czy rozmawiać z klientami przez cały dzień?;Office manager prowadzi kilkanaście spraw naraz, negocjuje z dostawcami i zarządza budżetem biura. Obsługa klienta to kilkadziesiąt rozmów dziennie, w większości z osobami niezadowolonymi.;Obsługa klienta jest jednym z najbardziej zagrożonych zawodów w bazie. Traktuj jako pierwsza prace, nie jako karierę.
dane;Analiza danych;analityk_danych data_scientist;Chcesz odpowiadać na pytania, które ktoś zadaje, czy budować modele przewidujące przyszłość?;Analityk pracuje z SQL i danymi historycznymi, wchodzi po studiach dowolnych albo bez nich. Data scientist buduje modele i wymaga matematyki na poziomie studiów ścisłych.;Matematyka jest tu twarda bariera. Jeśli sprawia trudność, analityk danych jest realna droga, data scientist nie.
prawnicy;Zawody prawnicze;radca_prawny prawnik_wewnetrzny;Wielu klientów i rozliczenie z godzin, czy jedna firma i etat?;Radca prowadzi własna praktykę, ma nieprzewidywalne godziny i wyższy sufit. Prawnik wewnętrzny ma stała pensję, przewidywalny grafik i jednego klienta, którym jest jego pracodawca.;Obie drogi wymagają aplikacji, czyli 8 do 9 lat od matury.
prawo_urzad;Prawo w strukturze;spec_zgodnosci notariusz;Chcesz pilnować, żeby firma działała zgodnie z przepisami, czy nadawać dokumentom moc prawna?;Specjalista zgodności pracuje w firmie i doradza. Notariusz prowadzi własna kancelarię, obsługuje klientów i odpowiada za czynności o skutkach majątkowych.;Notariat wymaga aplikacji i jest bardzo trudny do wejścia. Zgodność jest dostępna po studiach.
mundurowe;Służby mundurowe;policjant zolnierz;Chcesz pracować w społeczeństwie, czy w strukturze zamkniętej?;Policjant kontaktuje się z obywatelami codziennie, często w konflikcie. Żołnierz pracuje wewnątrz jednostki, z wyjazdami i możliwością przeniesienia służbowego.;Obie służby oznaczają gotowość do przeprowadzki na polecenie.
ratownictwo_teren;Ratownictwo w terenie;strazak ratownik_gorski;Chcesz stabilnego etatu w jednostce, czy pracy sezonowej i częściowo ochotniczej?;Strażak ma etat, dyżury i pełne zabezpieczenie socjalne. Ratownik gorski lub wodny często łączy to z inna praca, a zatrudnienie bywa sezonowe.;Oba wymagają bardzo dobrej sprawności fizycznej utrzymywanej przez cała karierę.
infra_it;Infrastruktura IT;administrator devops;Chcesz utrzymywać systemy, które już działają, czy budować sposób, w jaki oprogramowanie trafia na produkcję?;Administrator dba o serwery i sprzęt, często w jednej organizacji. DevOps automatyzuje procesy wdrożeniowe i pracuje bliżej programistów. Sufit zarobkowy jest wyższy.;Obie role oznaczają dyżury i telefon w środku nocy przy awarii.
budowlanka_biuro;Budownictwo od strony biura;inzynier_budownictwa kosztorysant projektant_instalacji;Chcesz liczyć, czy budynek się utrzyma, ile będzie kosztował, czy jak doprowadzić do niego ciepło i wodę?;Konstruktor odpowiada za bezpieczeństwo i podpisuje się imiennie. Kosztorysant liczy pieniądze i ma najniższy poziom stresu z całej trójki. Projektant instalacji pracuje w obszarze, który rosnie najszybciej z powodu wymogów energetycznych.;Kosztorysant jest najlepsza droga dla kogos, kto pracował fizycznie na budowie i musi przejść do biura.
instalacje;Instalacje w budynkach;elektryk hydraulik;Prad czy woda?;To jest ta sama logika pracy: diagnoza, montaż, wyjazdy do klienta, własna działalność po kilku latach. Elektryk częściej pracuje w kurzu na budowie, hydraulik częściej w kontakcie z kanalizacja i przy awariach o dowolnej porze.;Oba są deficytowe w całej Polsce i oba korzystają na transformacji energetycznej. Trudno tu o zły wybór.
rzemioslo_material;Rzemiosło materiałowe;stolarz krawiec;Drewno czy tkanina?;Poza materiałem to bardzo podobna praca: pomiar u klienta, wykonanie w warsztacie, montaż albo przymiarka. Stolarstwo wymaga większej siły i droższego warsztatu, krawiectwo jest tańsze w starcie i mniej obciążające fizycznie.;W obu produkcja masowa jest zagrożona, a wyroby na wymiar nie.
serwis_techniczny;Serwis i naprawa;mechanik technik_serwisu;Pojazdy czy urządzenia?;Ta sama logika diagnozy. Mechanik pracuje w warsztacie, klient przyjeżdża do niego. Technik serwisu jeździ do urządzeń, więc spędza jedna czwarta czasu w samochodzie.;U technika serwisu wybór specjalizacji zmienia dochód dwukrotnie. Serwis medyczny i przemysłowy płaca najlepiej, AGD najgorzej.
transport_biuro;Transport od strony biura;spedytor dyspozytor;Chcesz negocjować z firmami transportowymi, czy zarządzać własnymi kierowcami?;Spedytor szuka przewoźników na rynku i zarabia na marży, często z prowizja. Dyspozytor zarządza własna flota i przede wszystkim ludźmi, którzy są zmęczeni po tygodniu w trasie.;Oba oznaczają telefon dzwoniący przez cały dzień i często po godzinach.
pielegniarstwo;Opieka pielęgniarska i położnictwo;pielegniarka polozna;Odpowiedzialność za jedną osobę, czy za dwie naraz?;Położna prowadzi poród fizjologiczny samodzielnie, bez lekarza, i odpowiada jednocześnie za matkę i dziecko. Pielęgniarka ma szerszy zakres miejsc pracy i więcej ścieżek: oddział, przychodnia, blok operacyjny, opieka domowa.;U położnej najcięższym doświadczeniem jest poród zakończony śmiercią dziecka. Zdarza się rzadko, ale zdarza.
opieka_bezposrednia;Opieka bezpośrednia;opiekun_med opiekun_starszej;Chcesz pracować w placówce z zespołem, czy u jednej osoby, często samotnie?;Opiekun medyczny pracuje w szpitalu albo zakładzie opiekuńczym, ma zespół i większe uprawnienia. Opiekun osoby starszej często pracuje sam w domu podopiecznego, także za granica w systemie rotacyjnym.;Praca za granica w opiece daje 2 do 3 razy wyższy dochód, ale oznacza tygodnie albo miesiące poza domem.
cialo_terapia;Praca z ciałem;fizjoterapeuta masazysta;Pięć lat studiów i pełne uprawnienia medyczne, czy rok kursu i szybkie wejście?;Fizjoterapeuta diagnozuje, prowadzi terapię i pracuje z pacjentami po urazach i operacjach. Masażysta wykonuje zabiegi, nie diagnozuje i nie może prowadzić rehabilitacji.;Oba zawody zużywają ręce. Masażysta szybciej, bo pracuje wyłącznie manualnie.
pomoc_psych;Pomoc psychologiczna;psycholog psychoterapeuta;Diagnoza i ocena, czy prowadzenie jednej osoby przez lata?;Psycholog bada, diagnozuje, wydaje opinie i pracuje w szkole, poradni, szpitalu albo firmie. Psychoterapeuta prowadzi terapię, co wymaga czteroletniej szkoły po studiach.;Droga do psychoterapii kosztuje 60 do 120 tysięcy złotych własnych środków. Wiedz o tym przed wyborem studiów, a nie po nich.
praca_z_rodzina;Praca z rodziną w kryzysie;pracownik_socjalny asystent_rodziny;Chcesz mieć narzędzia formalne i decydować o świadczeniach, czy budować zaufanie bez funkcji kontrolnej?;Pracownik socjalny przyznaje świadczenia i prowadzi postępowania, więc ma władzę i związaną z nią nieufność. Asystent rodziny pracuje intensywnie z kilkunastoma rodzinami, bez funkcji kontrolnej, i to jest jego największa siła.;U obu superwizja jest warunkiem bezpiecznej pracy. Pytaj o nią na rozmowie o pracę tak samo jak o wynagrodzenie.
