kod;nazwa;obszar;poziom;studia;a1;a2r;a2w;a3;a4p;a4m;a5;m1;anty;koszt;flaga;zagr;kier;klaster;duze_miasto;teren;przeciw;przedm;dosw
analityk_biznesowy;Analityk biznesowy;1;sredni;czesciowo;porzadek liczby uczenie;analiza system wyjasnianie;dokladnosc wyczuwanie slowo;dokladnosc ludzie struktura;rozwoj mistrzostwo stabilnosc;zmiennosc;komputer doksztalcanie nadgodziny;duza_organizacja zdalna;dokumentacja_nie efekt_szybki nuda_powtarzalnosc;niski;docelowy;umiarkowane;Ucz sie rozmowy z ludzmi, nie tylko dokumentowania;;0;0;;matematyka informatyka;
kierownik_zespolu;Kierownik zespolu;1;dlugi;czesciowo;prowadzenie planowanie rozmowa;prowadzenie_grupy organizowanie rozbrajanie;wyczuwanie przekonywanie opanowanie;inicjatywa konfrontacja ludzie;wplyw pieniadze rozwoj;mistrzostwo;ludzie_ciagle odpowiedzialnosc presja;duza_organizacja prowadzenie;unikanie_konfliktu waska_wiedza potrzeba_uznania;zerowy;docelowy;bardzo_niskie;;;0;0;;;prowadzenie praca_stala
konsultant;Konsultant biznesowy;1;dlugi;tak;liczby prowadzenie przekonywanie;analiza system wystapienia;uczenie_sie opanowanie slowo;tempo inicjatywa szerokosc;pieniadze rozwoj uznanie;czas_dla_siebie stabilnosc;studia wyjazdy nadgodziny presja wystapienia;przenika duzo_godzin wysoki_poziom_zycia;kontrola_efektu krytyka_osobista weekendy_nie;niski;docelowy;umiarkowane;;;1;0;;matematyka;konkursy projekty
product_manager;Product manager;1;sredni;czesciowo;prowadzenie liczby tech;analiza system przekonywanie;wyczuwanie tworzenie negocjowanie;inicjatywa szerokosc konfrontacja;wplyw rozwoj pieniadze;stabilnosc;komputer ludzie_ciagle presja;zdalna duza_organizacja;potrzeba_decydowania efekt_widoczny procedury_nie;niski;docelowy;niskie;;;1;0;;matematyka informatyka;projekty prowadzenie
project_manager;Project manager;1;sredni;czesciowo;planowanie prowadzenie porzadek;organizowanie wielozadaniowosc prowadzenie_grupy;rozbrajanie opanowanie system;struktura konfrontacja szerokosc;wplyw rozwoj pieniadze;czas_dla_siebie;komputer ludzie_ciagle nadgodziny presja;duza_organizacja przenika;efekt_widoczny unikanie_konfliktu potrzeba_decydowania;niski;docelowy;umiarkowane;Ucz sie dziedziny projektu, nie tylko administrowania tablica;;1;0;;;prowadzenie
brand_manager;Brand manager;2;dlugi;czesciowo;przekonywanie obraz prowadzenie;estetyka analiza system;przekonywanie tworzenie organizowanie;glebia struktura ludzie;wplyw uznanie mistrzostwo pieniadze;zmiennosc;komputer ludzie_ciagle presja;duza_organizacja duzo_godzin;efekt_szybki kontrola_efektu nietykalnosc_pracy;niski;docelowy;niskie;;;1;0;;polski artystyczne;
copywriter;Copywriter;2;szybki;nie;pisanie przekonywanie obraz;slowo przekonywanie tworzenie;analiza samodzielnosc estetyka;cisza samodzielnie glebia;wolnosc mistrzostwo rozwoj;stabilnosc relacje;komputer niepewny_dochod samotnosc wlasna_dzialalnosc;zdalna wlasne;nietykalnosc_pracy potrzeba_ludzi samodyscyplina_brak sprzedaz_nie;zerowy;docelowy;bardzo_wysokie;Celuj w copywriting sprzedazowy albo branzowy, nie w tresci masowe;marketing_tresc;0;0;;polski;projekty hobby
pr;Specjalista PR;2;sredni;czesciowo;pisanie przekonywanie prawo;slowo przekonywanie opanowanie;wyczuwanie rozbrajanie analiza;tempo konfrontacja ludzie;wplyw uznanie zmiennosc;stabilnosc;nieregularne presja ludzie_ciagle;przenika;unikanie_konfliktu wieczory_nie stala_pensja;niski;docelowy;niskie;;;1;0;;polski jezyki;projekty
seo;Specjalista SEO;2;szybki;nie;liczby tech porzadek;analiza system dokladnosc;wytrzymalosc problemy samodzielnosc;cisza dokladnosc samodzielnie;mistrzostwo rozwoj wolnosc;relacje;komputer doksztalcanie;zdalna;efekt_szybki kontrola_efektu potrzeba_ludzi;bardzo_niski;docelowy;wysokie;Ucz sie mechanizmow wyszukiwania, nie narzedzi;;0;0;;informatyka matematyka;
social_media;Social media manager;2;szybki;nie;obraz pisanie scena;tworzenie estetyka slowo;wielozadaniowosc uprzejmosc odpornosc;tempo bodzce elastycznosc;zmiennosc uznanie rozwoj;stabilnosc czas_dla_siebie;komputer nieregularne roszczeniowi;przenika zdalna;cudza_zlosc efekt_widoczny doksztalcanie_nie;zerowy;docelowy;umiarkowane;Buduj obecnosc niezalezna od jednej platformy;;0;0;;polski artystyczne;projekty hobby
